rf;vf;count
C2;QE;1
C2;CS;5
C2;E;21
C2;S;9
C3;QE;1
C3;CS;0
C3;E;12
C3;S;1
C4;QE;1
C4;CS;3
C4;E;11
C4;S;4
C5;QE;0
C5;CS;4
C5;E;16
C5;S;4
C6;QE;0
C6;CS;0
C6;E;9
C6;S;0
C7;QE;0
C7;CS;0
C7;E;0
C7;S;0
C8;QE;1
C8;CS;6
C8;E;11
C8;S;7
C9;QE;0
C9;CS;0
C9;E;1
C9;S;0
C10;QE;0
C10;CS;0
C10;E;3
C10;S;0
C11;QE;2
C11;CS;7
C11;E;13
C11;S;7
C12;QE;0
C12;CS;3
C12;E;6
C12;S;5
