year;type;papers;
2017;CS;1.0;
2016;SU;0.2;
2016;EX;0.5333333333333333;
2016;CS;0.26666666666666666;
2015;SU;0.15384615384615385;
2015;QE;0.038461538461538464;
2015;EX;0.6153846153846154;
2015;CS;0.19230769230769232;
2014;SU;0.038461538461538464;
2014;QE;0.07692307692307693;
2014;EX;0.7307692307692307;
2014;CS;0.15384615384615385;
2013;EX;0.75;
2013;CS;0.25;
